SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688293.SH,688293,奥浦迈,10000172480,通用,2018-12-31 00:00:00,年报,2018年报,58001001,2021-11-23 00:00:00,2022-08-16 00:00:00,CNY,33843825.96,,33843825.96,,,,,,,,,,,,77343217.64,,13138561.74,,,,,,7865624.12,,,,,,,,,,,,,,69806.2,,4565697.25,,51183280.02,,,,520248.31,,1168059.15,,517526.99,,,,,,,,,,,,,,,,,,,,-266388.51,,,,695733.45,,,,0,,-43070046.74,,599753.22,,,,10000.0,,,,,,0,,-42480293.52,,,,,,,,,,-42480293.52,,,,-42480293.52,,,,-42480293.52,,,,634319.639999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42480293.52,,-42480293.52,,,,,,,,,,,,,,标准无保留意见
688293.SH,688293,奥浦迈,10000172480,通用,2019-12-31 00:00:00,年报,2019年报,58001001,2021-11-23 00:00:00,2022-08-30 00:00:00,CNY,58521116.16,72.915190585,58521116.16,72.915190585,,,,,,,,,,,71457643.93,-7.6096830331,29368605.96,123.5298394237,,,,,23440576.27,198.0129219549,,,,,,,,,,,,,43964.15,-37.019705986,6502833.42,42.4280468881,9695930.16,-81.0564501607,,,2405733.97,362.420333475,2622471.26,124.5152790422,105868.53,-79.5433799501,,,,,,,,,,,,,,,,,,,-19826.04,92.5574717919,193094.0,,497295.08,-28.522183316,,,0,,-12265964.73,71.5208929211,1100.0,-99.8165912306,,,487.78,-95.1222,,,,,0,,-12265352.51,71.1269591294,,,,,,,,,-12265352.51,71.1269591294,,,-12265352.51,71.1269591294,,,-12265352.51,71.1269591294,,,-12795202.43,-2117.1537539024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12265352.51,71.1269591294,-12265352.51,71.1269591294,,,,,,,,,,,,,标准无保留意见
688293.SH,688293,奥浦迈,10000172480,通用,2020-12-31 00:00:00,年报,2020年报,58001001,2021-11-23 00:00:00,2022-08-30 00:00:00,CNY,124970474.52,113.5476606057,124970474.52,113.5476606057,,,,,,,,,,,119293022.15,66.9422829933,67495449.02,129.8217665215,,,,,22556668.79,-3.7708436423,,,,,,,,,,,,,169647.88,285.8777663164,5201017.34,-20.0192131017,22847963.09,135.6448810271,,,1022276.03,-57.5066884889,2452542.15,-6.4797320219,2110630.18,1893.6332165942,,,,,,,,,1444451.22,,,,,,,,,,-113459.68,-472.276057145,-94616.0,-148.9999689271,2942044.5,491.6094122628,,,0,,9855872.41,180.3513839062,1867972.45,169715.677272727,,,39260.94,7948.9031940629,,,,,0,,11684583.92,195.2649661758,,,,,,,,,11684583.92,195.2649661758,,,11684583.92,195.2649661758,,,11684583.92,195.2649661758,,,5446960.24,142.570332668,,,,,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11684583.92,195.2649661758,11684583.92,195.2649661758,,,,,,,,,,,,,标准无保留意见
688293.SH,688293,奥浦迈,10000172480,通用,2021-06-30 00:00:00,中报,2021中报,58001001,2022-08-16 00:00:00,2022-08-16 00:00:00,CNY,82389455.72,,82389455.72,,,,,,,,,,,,65873267.45,,33326734.82,,,,,,9973513.4,,,,,,,,,,,,,,129612.7,,3723807.41,,18882755.76,,,,-163156.64,,2245103.95,,2530934.45,,,,,,,,,,1936711.09,,,,,,,,,,-26534.86,,-1119014.88,,1668746.75,,,,0,,18976096.37,,9150.0,,,,1268.71,,,,,,0,,18983977.66,,24712.75,,,,,,,,18959264.91,,,,18959264.91,,,,18959264.91,,,,15887464.91,,,,,,0.31,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959264.91,,18959264.91,,,,,,,,,,,,,,
688293.SH,688293,奥浦迈,10000172480,通用,2021-09-30 00:00:00,三季报,2021三季报,58001001,2021-11-23 00:00:00,2022-10-27 00:00:00,CNY,151175674.56,,151175674.56,,,,,,,,,,,,108952088.81,,55690330.94,,,,,,14696049.45,,,,,,,,,,,,,,529551.95,,7360441.02,,30468350.05,,,,207365.4,,3485846.05,,3363701.39,,,,,,,,,,3174922.21,,,,,,,,,,10888.29,,-387945.78,,2418200.9,,,,0,,47439651.37,,4009150.0,,,,1268.71,,,,,,0,,51447532.66,,5277685.2,,,,,,,,46169847.46,,,,46169847.46,,,,46169847.46,,,,38008439.31,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46169847.46,,46169847.46,,,,,,,,,,,,,,标准无保留意见
688293.SH,688293,奥浦迈,10000172480,通用,2021-12-31 00:00:00,年报,2021年报,58001001,2022-04-02 00:00:00,2023-03-30 00:00:00,CNY,212683302.44,70.1868407373,212683302.44,70.1868407373,,,,,,,,,,,156891723.89,31.5179388219,85324004.21,26.414455269,,,,,19688936.88,-12.7134548842,,,,,,,,,,,,,778020.41,358.6089787859,10334085.03,98.693531562,40556005.97,77.5038142798,,,210671.39,-79.3919270512,4786123.7,95.1494982461,4888955.4,131.6348665118,,,,,,,,,4177404.29,189.2035557975,,,,,,,,,-84376.95,25.6326564644,-313130.06,-230.9483174093,4633113.32,57.4793759918,,,0,,64204589.15,551.4348652166,4009150.0,114.6257563916,,,60500.4,54.0981953056,,,,,0,,68153238.75,483.2748450148,7759573.55,,,,,,,,60393665.2,416.8662026264,,,60393665.2,416.8662026264,,,60393665.2,416.8662026264,,,49543382.24,809.5601960921,,,,,0.98,415.7894736842,0.98,415.7894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60393665.2,416.8662026264,60393665.2,416.8662026264,,,,,,,,,,,,,标准无保留意见
688293.SH,688293,奥浦迈,10000172480,通用,2022-03-31 00:00:00,一季报,2022一季报,58001001,2023-04-28 00:00:00,2023-04-28 00:00:00,CNY,72665072.9,,72665072.9,,,,,,,,,,,,44101097.83,,25832034.0,,,,,,5371286.68,,,,,,,,,,,,,,455103.55,,2638152.0,,9534954.26,,,,269567.34,,1441878.42,,1229759.99,,,,,,,,,,778554.04,,,,,,,,,,-15086.44,,-667617.8,,890917.93,,,,0,,29550742.8,,108134.0,,,,40000.0,,,,,,0,,29618876.8,,4350244.31,,,,,,,,25268632.49,,,,25268632.49,,,,25268632.49,,,,23791700.0,395.1240322983,,,,,0.41,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25268632.49,,25268632.49,,,,,,,,,,,,,,
688293.SH,688293,奥浦迈,10000172480,通用,2022-06-30 00:00:00,中报,2022中报,58001001,2022-08-16 00:00:00,2022-08-16 00:00:00,CNY,146715358.12,78.0754064193,146715358.12,78.0754064193,,,,,,,,,,,88693723.42,34.6429695283,48497036.19,45.519915023,,,,,13752668.42,37.8919129943,,,,,,,,,,,,,761036.78,487.1621993832,5757449.8,54.6119110387,20128281.15,6.596099668,,,-202748.92,-24.2664227457,2778093.23,23.7400713673,2127447.91,-15.9421963694,,,,,,,,,1665804.02,-13.9879960103,,,,,,,77914.85,,-189178.34,-612.942672394,-1526568.98,-36.420793618,1655984.53,-0.7647787179,,,0,,59705590.78,214.6357902903,2513134.0,27365.9453551913,,,41971.32,3208.188632548,,,,,0,,62176753.46,227.5222641618,8820176.14,35590.7917572913,,,,,,,53356577.32,181.4274581493,,,53356577.32,181.4274581493,,,53356577.32,181.4274581493,,,48366341.15,204.4308291095,,,,,0.87,180.6451612903,0.87,180.6451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53356577.32,181.4274581493,53356577.32,181.4274581493,,,,,,,,,,,,,
688293.SH,688293,奥浦迈,10000172480,通用,2022-09-30 00:00:00,三季报,2022三季报,58001001,2022-10-27 00:00:00,2022-10-27 00:00:00,CNY,223107000.23,47.5812830863,223107000.23,47.5812830863,,,,,,,,,,,134391830.79,23.3494761393,74168004.88,33.1793214874,,,,,24352963.82,65.7109545178,,,,,,,,,,,,,1050021.65,98.2849180331,9876179.67,34.1791836001,30989571.68,1.7106985746,,,-6044910.91,-3015.1010293906,3883819.72,11.4168458472,6680283.19,98.5991744053,,,,,,,750014.89,,2584181.52,-18.6064618572,,,,,,,77914.85,,-262815.99,-2513.7489908884,-2901187.37,-647.8332075168,5404168.93,123.4789065706,,,0,,94367446.27,98.9210366113,2543284.68,-36.5629951486,,,42285.37,3232.9421223132,,,,,0,,96868445.58,88.2858916096,13777263.04,161.0474576998,,,,,,,83091182.54,79.9685013298,,,83091182.54,79.9685013298,,,83091182.54,79.9685013298,,,73471447.87,93.3029853469,,,,,1.3,73.3333333333,1.3,73.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83091182.54,79.9685013298,83091182.54,79.9685013298,,,,,,,,,,,,,
688293.SH,688293,奥浦迈,10000172480,通用,2022-12-31 00:00:00,年报,2022年报,58001001,2023-03-30 00:00:00,2023-03-30 00:00:00,CNY,294365734.14,38.4056626745,294365734.14,38.4056626745,,,,,,,,,,,189394157.1,20.7164740141,106064676.76,24.3081331473,,,,,33195981.13,68.6022019996,,,,,,,,,,,,,1167334.78,50.0390947327,13600721.78,31.6103142225,46314510.02,14.1988933877,,,-10949067.37,-5297.22557961,4984406.82,4.1428749533,13838677.05,183.0599978474,,,,,,,1666852.72,,4140254.68,-0.8892988904,,,,,,,292206.44,,-264377.51,-213.3290667653,-4755295.91,-1418.6328358255,9864861.47,112.9207897294,,,0,,115916078.93,80.5417345779,3643284.68,-9.125757829,,,125285.32,107.0818044178,,,,,0,,119434078.29,75.2434374074,14064712.57,81.2562569241,,,,,,,105369365.72,74.4708908973,,,105369365.72,74.4708908973,,,105369365.72,74.4708908973,,,88797877.12,79.2325697302,,,,,1.54,57.1428571429,1.54,57.1428571429,118909.14,,118909.14,,,,,,,,,,,,,,,,,,,,,,118909.14,,,,,,,,,,,,,,,,118909.14,,,,,,,,,,105488274.86,74.6677809844,105488274.86,74.6677809844,,,,,,,,,,,,,标准无保留意见
