SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688981.SH,688981,中芯国际,10004588,通用,2013-12-31 00:00:00,年报,2013年报,58001001,2019-04-25 00:00:00,2019-04-25 00:00:00,USD,2068964000.0,,2068964000.0,,,,,,,,,,,,1915355000.0,,1630528000.0,,,,,,145314000.0,,,,,,,,,,,,,,,,35738000.0,,138167000.0,,,,-34392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33478000,,187087000.0,,,,,,,,,,,,-8490000,,178597000.0,,4130000.0,,,,,,,,174467000.0,,,,,,,,173177000.0,,1290000.0,,,,,,,,0.01,,0.01,,731000.0,,731000.0,,,,,,,,,,,,,,,,,,,,,,731000.0,,,,,,,,,,,,,,,,731000.0,,,,,,,,,,175198000.0,,173908000.0,,1290000.0,,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2014-12-31 00:00:00,年报,2014年报,58001001,2019-04-25 00:00:00,2019-04-25 00:00:00,USD,1969966000.0,-4.7849068423,1969966000.0,-4.7849068423,,,,,,,,,,,1853927000.0,-3.2071339256,1486514000.0,-8.8323536916,,,,,189733000.0,30.567598442,,,,,,,,,,,,,,,38252000.0,7.0345290727,139428000.0,0.9126636606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14206000,-57.5661628532,130245000.0,-30.3826561974,,,,,,,,,,,7805000,191.9316843345,138050000.0,-22.7030689205,11789000.0,185.4479418886,,,,,,,126261000.0,-27.6304401405,,,,,,,152969000.0,-11.6689860663,-26708000.0,-2170.3875968992,,,,,,,0.05,400.0,0.04,300.0,-324000.0,-144.3228454172,-324000.0,-144.3228454172,,,,,,,,,,,,,,,,,,,,,-324000.0,-144.3228454172,,,,,,,,,,,,,,,-324000.0,-144.3228454172,,,,,,,,,125937000.0,-28.1173301065,152645000.0,-12.2265795708,-26708000.0,-2170.3875968992,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2015-12-31 00:00:00,年报,2015年报,58001001,2016-05-31 00:00:00,2019-04-25 00:00:00,USD,2236415000.0,13.5255633854,2236415000.0,13.5255633854,,,,,,,,,,,1821066000.0,-1.7725077633,1553795000.0,4.5260925898,,,,,237157000.0,24.9951247279,,,,,,,,,,,,,,,41876000.0,9.4740144306,213177000.0,52.8939667786,,,12218000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-193345000,-1461.0094326341,222004000.0,70.4510729778,,,,,,,,,,,8860000,13.5169762972,230864000.0,67.2321622601,8541000.0,-27.5511069641,,,,,,,222323000.0,76.0820839372,,,,,,,253411000.0,65.6616700116,31088000.0,216.39958065,,,,,,,0.07,40.0,0.07,75.0,284499000.0,87908.3333333333,-7603000.0,-2246.6049382716,,,,,,,,,,,,,,,,,,,,,-7603000.0,-2246.6049382716,,,452000.0,,,,,,,,,,,,-8185000.0,-2426.2345679012,130000.0,,,,,,,,214720000.0,70.4979473864,245803000.0,61.0291853647,-31083000.0,-16.3808596675,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2016-12-31 00:00:00,年报,2016年报,58001001,2018-05-09 00:00:00,2019-05-05 00:00:00,USD,2914180000.0,30.3058689912,2914180000.0,30.3058689912,,,,,,,,,,,2064499000.0,13.3676099603,2064499000.0,32.8681711551,,,,,318247000.0,34.1925391197,,,,,,,,,,,,,,,35034000.0,-16.3387142994,157371000.0,-26.1782462461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-510475000,-164.0228606894,339206000.0,52.7927424731,,,,,,,,,,,-29324000,-430.9706546275,309882000.0,34.2270774135,-6552000.0,-176.7123287671,,,,,,,316434000.0,42.3307530035,,,,,,,376630000.0,48.6241718,-60196000.0,-293.630983016,,,,,,,0.09,28.5714285714,0.08,14.2857142857,-41330000.0,-114.5272918358,-41330000.0,-443.6012100487,,,,,,,1520000.0,,,,,,,,,,,,,,-42850000.0,-463.5933184269,,,807000.0,78.5398230088,,,-24627000.0,,,,,,,,-19031000.0,-132.5106902871,1000.0,-99.2307692308,,,,,,,265104000.0,23.4649776453,326191000.0,32.7042387603,-61087000.0,-96.5286491008,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2017-06-30 00:00:00,中报,2017中报,58001001,2019-04-25 00:00:00,2019-04-25 00:00:00,USD,1544278000.0,,1544278000.0,,,,,,,,,,,,1221229000.0,,1129327000.0,,,,,,,,,,,,0.0,,,,,,,,,,19816000.0,,93593000.0,,,,-21507000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-224031000,,99018000.0,,,,,,,,,,0.0,,2169000,,101187000.0,,,,,,,,,,97529000.0,,,,,,,,97529000.0,,-8533000.0,,,,,,,,0.02,,0.02,,134814000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2017-12-31 00:00:00,年报,2017年报,58001001,2018-05-09 00:00:00,2020-07-13 00:00:00,CNY,21389822412.14,633.9911197023,21389822412.14,633.9911197023,,,,,,,,,,,21347966828.93,934.0507226659,16093951396.52,679.5572386579,,,,,3576077837.21,1023.6799835379,,,,,,,,,,,,,144616631.78,,228505249.17,552.2385373352,1120222867.2,611.8356413825,,,184592847.05,,263174726.88,,181704857.85,,,,,,,,39248075.83,,12924712.47,,5366978.02,,,,,,112191897.38,,-317383837.8,,,,1023701821.82,,,,0,100.0,912538252.91,169.0218489384,3444071.58,,,,2168006.02,,,,,,0,100.0,913814318.47,194.8910612653,11267314.31,271.9675566239,,,,,,,902547004.16,185.2244083,,,,,,,1244990601.63,230.5606567799,-342443597.47,-468.8809845671,273275921.5,,,,,,0.27,200.0,0.27,237.5,-1626135947.41,-3834.5171725381,-1114602937.41,-2596.8374967578,-511533010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-723588943.25,-372.9453132544,130387664.22,-60.0272036261,-853976607.47,-1297.9678286215,,,,,,,,,,,标准无保留意见
688981.SH,688981,中芯国际,10004588,通用,2018-06-30 00:00:00,中报,2018中报,58001001,2019-04-25 00:00:00,2019-08-30 00:00:00,USD,1721757000.0,11.4926846073,1721757000.0,11.4926846073,,,,,,,,,,,1283748000.0,5.1193510799,1283748000.0,13.6737189494,,,,,,,,,,,,,,,,,,,,,16652000.0,-15.966895438,100307000.0,7.1736134113,,,-24170000.0,-12.3820151579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.0,438009000.0,342.3529055323,,,,,,,,,,,-360880000,-16738.082065468,77129000.0,-23.7757814739,18384000.0,,,,,,,,58745000.0,-39.7666335141,,,,,,,58745000.0,-39.7666335141,,,,,,,,,0.02,0.0,0.02,0.0,35314000.0,-73.8053911315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94059000.0,,115751000.0,,-21692000.0,,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2018-09-30 00:00:00,三季报,2018三季报,58001001,2019-02-26 00:00:00,2019-02-26 00:00:00,USD,2572420000.0,,2572420000.0,,,,,,,,,,,,1959870000.0,,1959870000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556980000,,55570000.0,,,,,,,,,,,,33570000,,89140000.0,,,,,,,,,,66340000.0,,,,,,,,66340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688981.SH,688981,中芯国际,10004588,通用,2018-12-31 00:00:00,年报,2018年报,58001001,2019-05-05 00:00:00,2020-07-13 00:00:00,CNY,23016706842.03,7.6058809584,23016706842.03,7.6058809584,,,,,,,,,,,23533457647.32,10.2374658716,17718317923.98,10.0930249349,,,,,4470900053.44,25.0224479713,,,,,,,,,,,,,91612712.35,-36.6513303329,190045693.38,-16.8309287991,1159348822.23,3.4926938358,,,-96767558.06,-152.4221602334,263350590.58,0.0668239318,442772287.42,143.6766373002,,,,,,,24500805.92,-37.5745042225,-270439089.98,-2192.4186174952,-339696074.8,-6429.3733183577,,,,,214337708.31,91.045622113,-97430332.16,69.3020498979,-5753780.93,,1106647341.7,8.102507792,,,0,,455111847.57,-50.1268197669,9474740.45,175.1028899928,,,8197507.59,278.1127688013,,,,,0,,456389080.43,-50.0566941002,96127500.72,753.1536271664,,,,,,,360261579.71,-60.08389834,,,,,,,747278322.87,-39.9771916437,-387016743.16,-13.0162006296,-616854000.0,-325.7257048532,,,,,0.14,-48.1481481481,0.14,-48.1481481481,2434757860.36,249.7265873888,1831487647.64,264.3174969461,603270212.72,217.9337796245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795019440.07,486.2717176849,2578765970.51,1877.7683617055,216253469.56,125.3231139669,,,,,,,,,,,标准无保留意见
688981.SH,688981,中芯国际,10004588,通用,2019-03-31 00:00:00,一季报,2019一季报,58001001,2019-05-13 00:00:00,2020-06-30 00:00:00,CNY,4624563624.06,,4624563624.06,,,,,,,,,,,,4916671707.73,,3756417693.92,,,,,,1014498472.88,,,,,,,,,,,,,,25140161.29,,45030302.39,,249093332.34,,,,-173508255.09,,99663705.88,,-199789250.54,,,,,,,,-3319229.86,,-9795818.69,,-31780640.44,,,,,,10379400.2,,-54373971.15,,-7736348.4,,689959729.59,,,,0,,333005678.02,,790459.16,,,,1638.24,,,,,,0,,333794498.94,,35286350.72,,,,,,,,298508148.22,,,,298508148.22,,,,216772469.39,,81735678.83,,-328977514.35,,,,,,0.04,,0.04,,-1149897609.8,,-765917140.77,,-383980469.03,,,,,,-5786153.25,,,,,,-5786153.25,,,,,,,,-760130987.52,,,,,,,,-84824925.41,,,,,,,,-675306062.11,,,,,,,,,,-851389461.58,,-549144671.38,,-302244790.2,,,,,,,,,,,,
