SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
001324.SZ,1324,长青科技,10339283,通用,2018-12-31 00:00:00,年报,2018年报,58001001,2022-01-06 00:00:00,2022-01-06 00:00:00,CNY,337191900.0,,337191900.0,,,,,,,,,,,,296772500.0,,208696100.0,,,,,,19597400.0,,,,,,,,,,,,,,4361000.0,,20953100.0,,40968000.0,,,,2197000.0,,,,,,,,,,,,,,,,,,,,,,-59900.0,,3586400.0,,,,749700.0,,,,-100,,44695500.0,,445900.0,,,,123100.0,,,,,,100,,45018400.0,,7362200.0,,,,,,,,37656100.0,,,,37656100.0,,,,38657400.0,,-1001300.0,,34696500.0,,,,,,0.37,,0.37,,18300.0,,18300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37674400.0,,38675600.0,,-1001300.0,,,,,,,,,,,,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2019-12-31 00:00:00,年报,2019年报,58001001,2022-01-06 00:00:00,2023-03-17 00:00:00,CNY,420037500.0,24.5692734612,420037500.0,24.5692734612,,,,,,,,,,,336296100.0,13.317810781,239638600.0,14.826582768,,,,,21929700.0,11.9010685091,,,,,,,,,,,,,4470200.0,2.5040128411,23583100.0,12.5518419709,45466100.0,10.9795450107,,,1208400.0,-44.9977241693,,,,,,,,,,,,,-700.0,,,,,,,,-18200.0,69.6160267112,-1713300.0,-147.7721391925,-769300.0,,676400.0,-9.777244231,,,-100,0.0,81916200.0,83.2761687418,780100.0,74.9495402557,,,403900.0,228.1072298944,,,,,0,-100.0,82292400.0,82.797256233,11223900.0,52.4530710929,,,,,,,71068500.0,88.7303783451,,,71068500.0,88.7303783451,,,71005300.0,83.6784160342,63300.0,106.3217816838,67034240.72,93.2017371205,,,,,0.69,86.4864864865,0.69,86.4864864865,794000.0,4238.7978142077,794000.0,4238.7978142077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71862500.0,90.746236171,71799300.0,85.6449544416,63300.0,106.3217816838,,,,,,,,,,,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2020-12-31 00:00:00,年报,2020年报,58001001,2022-01-06 00:00:00,2023-04-27 00:00:00,CNY,511602625.82,21.7992740696,511602625.82,21.7992740696,,,,,,,,,,,423223083.61,25.8483472184,331155963.97,38.1897423746,,,,,24760946.08,12.9105554568,,,,,,,,,,,,,6906064.04,54.4911646011,15632799.85,-33.7118536155,42368824.79,-6.812273782,,,2398484.88,98.4843495531,2784349.53,,2351908.13,,,,,,,,,,913671.44,130624.491428571,,,,,,,,,-1385146.23,19.1533164069,-5887923.95,-665.3612309892,487347.28,-27.9498403312,,,0,100.0,82507490.75,0.7218239494,973920.4,24.8455838995,,,428217.19,6.0205966823,,,,,0,,83053193.96,0.9245008774,9853034.58,-12.2138064309,,,,,,,73200159.38,2.9994433258,,,73200159.38,2.9994433258,,,70974181.6,-0.0438254609,2225977.78,3416.5525750395,61955460.43,-7.57639713,,,,,0.69,0.0,0.69,0.0,-1522251.99,-291.7193942065,-1522251.99,-291.7193942065,,,,,,,,,,,,,,,,,,,,,-1522251.99,,,,,,,,,,,,,,,,-1522251.99,,,,,,,,,,71677907.39,-0.2568691738,69451929.61,-3.2693499658,2225977.78,3416.5525750395,,,,,,,,,-254740.85,,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2021-06-30 00:00:00,中报,2021中报,58001001,2022-01-06 00:00:00,2022-01-06 00:00:00,CNY,233493800.0,,233493800.0,,,,,,,,,,,,193848700.0,,147969700.0,,,,,,12452700.0,,,,,,,,,,,,,,2873800.0,,7353900.0,,22115600.0,,,,1083000.0,,,,,,,,,,,,,,39000.0,,,,,,,,,,-1617300.0,,3520800.0,,165500.0,,,,100,,41753200.0,,712900.0,,,,410500.0,,,,,,0,,42055600.0,,5244900.0,,,,,,,,36810600.0,,,,36810600.0,,,,36502400.0,,308300.0,,36190100.0,,,,,,0.35,,0.35,,157500.0,,157500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36968200.0,,36659900.0,,308300.0,,,,,,,,,,,,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2021-12-31 00:00:00,年报,2021年报,58001001,2022-08-02 00:00:00,2023-04-27 00:00:00,CNY,480225251.33,-6.1331535271,480225251.33,-6.1331535271,,,,,,,,,,,412019520.03,-2.6472004987,319497044.43,-3.5206732804,,,,,26298122.94,6.2080699786,,,,,,,,,,,,,4725690.74,-31.5718662232,17015719.75,8.8462713862,40160333.98,-5.2125373336,,,4322608.19,80.2224490154,444666.65,-84.0297834302,273958.2,-88.3516623585,,,,,,,,,37029.59,-95.9471656463,,,,,,,-133918.0,,-3746078.16,-170.4464033375,10742394.31,282.4479120523,1092788.21,124.2319296416,,,0,,76197947.25,-7.6472371692,963322.32,-1.0881874946,,,989507.25,131.0760224268,,,,,0,,76171762.32,-8.2855713452,9571918.57,-2.8530906668,,,,,,,66599843.75,-9.0168049987,,,66599843.75,-9.0168049987,,,66100231.75,-6.8672152889,499612.0,-77.555391411,65598518.62,5.8801244712,,,,,0.64,-7.2463768116,0.64,-7.2463768116,-893479.51,41.3054135669,-893479.51,41.3054135669,,,,,,,,,,,,,,,,,,,,,-893479.51,41.3054135669,,,,,,,,,,,,,,,-893479.51,41.3054135669,,,,,,,,,65706364.24,-8.3310790834,65206752.24,-6.1123965797,499612.0,-77.555391411,,,,,,,,,-1974.75,99.2248004197,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2022-03-31 00:00:00,一季报,2022一季报,58001001,2023-05-19 00:00:00,2023-05-19 00:00:00,CNY,77193455.05,,77193455.05,,,,,,,,,,,,78088125.58,,57529070.71,,,,,,5032398.78,,,,,,,,,,,,,,962741.88,,3973724.3,,9210594.09,,,,1379595.82,,,,,,,,,,,,,,,,,,,,,,,,-252465.7,,-1377026.46,,960702.05,,,,0,,-1563460.64,,756670.78,,,,2939.0,,,,,,0,,-809728.86,,402204.28,,,,,,,,-1211933.14,,,,-1211933.14,,,,-1403338.43,,191405.29,,-2561438.43,,,,,,-0.01,,,,2979465.03,,2776684.57,,202780.46,,,,,,,,,,,,,,,,,,,,2776684.57,,,,,,,,,,,,,,,,2776684.57,,,,,,,,,,1767531.89,,1373346.14,,394185.75,,,,,,,,,,,,
001324.SZ,1324,长青科技,10339283,通用,2022-06-30 00:00:00,中报,2022中报,58001001,2023-02-20 00:00:00,2023-03-17 00:00:00,CNY,223819500.0,-4.1432791791,223819500.0,-4.1432791791,,,,,,,,,,,197859500.0,2.0690363154,154956300.0,4.7216423362,,,,,12894300.0,3.5462188923,,,,,,,,,,,,,1995300.0,-30.5692810912,9478700.0,28.893512286,15838100.0,-28.3849409467,,,2696800.0,149.0120036934,,,,,,,,,,,,,,,,,,,,,,,-2882600.0,-78.2353304891,-2142500.0,-160.8526471257,1301200.0,686.2235649547,,,0,-100.0,22236100.0,-46.7439621394,4737800.0,564.5812876981,,,55700.0,-86.431181486,,,,,0,,26918200.0,-35.9937796631,2478800.0,-52.7388510744,,,,,,,24439400.0,-33.6077108224,,,24439400.0,-33.6077108224,,,23314500.0,-36.1288572806,1124900.0,264.8718780409,19052158.54,-47.3553304909,,,,,0.23,-34.2857142857,0.23,-34.2857142857,-1533300.0,-1073.5238095238,-1533300.0,-1073.5238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22906000.0,-38.0386386137,21781200.0,-40.5857626453,1124900.0,264.8718780409,,,,,,,,,,,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2022-12-31 00:00:00,年报,2022年报,58001001,2023-03-30 00:00:00,2023-04-27 00:00:00,CNY,517613969.43,7.7856626649,517613969.43,7.7856626649,,,,,,,,,,,440614270.75,6.9401446606,361208635.13,13.055391725,,,,,28135040.94,6.984977613,,,,,,,,,,,,,4286367.91,-9.296478635,18844816.35,10.7494518414,30764339.21,-23.3962067514,,,-2624928.79,-160.7255775824,1388652.96,212.2907823197,291167.82,6.2818415364,,,,,,,,,-25200.1,-168.0539536085,,,,,,,-98700.8,26.2975850894,-5020288.38,-34.0145123934,-6662446.82,-162.0201291047,1976502.49,80.8678453806,,,0,,67169565.07,-11.8485897663,9034990.03,837.8989609625,,,89055.8,-90.9999850936,,,,,0,,76115499.3,-0.073863356,7789613.88,-18.6201405389,,,,,,,68325885.42,2.5916602394,,,68325885.42,2.5916602394,,,66654987.89,0.8392650454,1670897.53,234.4390306878,58360382.34,-11.033993499,,,,,0.64,0.0,0.64,0.0,-920701.59,-3.0467492198,-920701.59,-3.0467492198,,,,,,,,,,,,,,,,,,,,,-920701.59,-3.0467492198,,,,,,,,,,,,,,,-920701.59,-3.0467492198,,,,,,,,,67405183.83,2.5854719092,65734286.3,0.8090175356,1670897.53,234.4390306878,,,,,,,,,-25200.1,-1176.1159640461,标准无保留意见
001324.SZ,1324,长青科技,10339283,通用,2023-03-31 00:00:00,一季报,2023一季报,58001001,2023-05-19 00:00:00,2023-05-19 00:00:00,CNY,102257722.44,32.4694203333,102257722.44,32.4694203333,,,,,,,,,,,89112588.91,14.1179766426,73268298.48,27.3587380706,,,,,4650754.92,-7.5837364383,,,,,,,,,,,,,879436.03,-8.6529787195,3275912.27,-17.5606553781,7403119.41,-19.6238664123,,,-364932.2,-126.4521097201,,,,,,,,,,,,,,,,,,,,,,,-537803.7,-113.0205013988,1586047.84,215.1791839933,63114.74,-93.4303523137,,,0,,14256492.41,1011.8548970955,1074328.93,41.9810250899,,,11424.7,288.7274583192,,,,,0,,15319396.64,1991.9168374461,2695657.19,570.2209111251,,,,,,,12623739.45,1141.6201218823,,,12623739.45,1141.6201218823,,,12988951.74,1025.575147258,-365212.29,-290.8057452331,12031751.74,569.7263693354,,,,,0.13,1400.0,,,394548.72,-86.7577328135,394548.72,-85.7906539236,,,,,,,,,,,,,,,,,,,,,394548.72,-85.7906539236,,,,,,,,,,,,,,,394548.72,-85.7906539236,,,,,,,,,13018288.17,636.5235243365,13383500.46,874.5176449107,-365212.29,-192.649795179,,,,,,,,,,,
001324.SZ,001324,长青科技,10339283,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-23 00:00:00,2023-08-23 00:00:00,CNY,226683812.48,1.2797592903,226683812.48,1.2797592903,,,,,,,,,,,189399286.99,-4.2758844261,153631137.36,-0.8552153292,,,,,11278236.48,-12.5333630179,,,,,,,,,,,,,1913163.04,-4.114519827,8079415.8,-14.7627630597,18377339.55,16.0325788079,,,-3880005.24,-243.8759883804,419418.02,-25.1433557374,829079.31,267.7233599266,,,,,,,,,50000,,,,,,,,-34.51,,-394026.91,86.3306164444,490947.44,122.9148715248,275114.74,-78.8568849111,,,0,,37706526.25,69.573484059,1202008.32,-74.6293628321,,,96486.68,73.2960758197,,,,,0,,38812047.89,44.1850785693,5423510.21,118.793236166,,,,,,,33388537.68,36.6177495995,,,33388537.68,36.6177495995,,,34424709.3,47.6536514608,-1036171.62,-192.1134969998,33329908.58,74.9403355767,,,,,0.32,39.1304347826,0.32,39.1304347826,2555280.83,266.6478372046,2555280.83,266.6478372046,,,,,,,,,,,,,,,,,,,,,2555280.83,266.6478372046,,,,,,,,,,,,,,,2555280.83,266.6478372046,,,,,,,,,35943818.51,56.9184962568,36979990.13,69.7797294878,-1036171.62,-192.1134969998,,,,,,,,,,,
