SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600377.SH,600377,宁沪高速,10002552,通用,1997-12-31 00:00:00,年报,1997年报,58001001,2000-12-20 00:00:00,2000-12-20 00:00:00,CNY,724585550.0,,724585550.0,,,,,,,,,,,,432712587.0,,252651026.0,,,,,,,,,,0.0,,0.0,,,,,,,,41168637.0,,,,45643900.0,,,,93249024.0,,,,,,0.0,,,,,,,,5393343.0,,,,,,,,,,,,,,,,,,16820287.0,,314086593.0,,,,,,,,,,,,0.0,,314086593.0,,,,,,0.0,,,,314086593.0,,,,,,,,314086593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600377.SH,600377,宁沪高速,10002552,通用,1998-12-31 00:00:00,年报,1998年报,58001001,2000-12-20 00:00:00,2000-12-20 00:00:00,CNY,1013037181.0,39.8091889909,1013037181.0,39.8091889909,,,,,,,,,,,422319118.0,-2.4019335957,318056350.0,25.887614642,,,,,,,,,0.0,,0.0,,,,,,,,57117894.0,38.7412801643,,,69244825.0,51.7066354978,,,-22099951.0,-123.6999274116,,,,,0.0,,,,,,,,7351190.0,36.3011772105,,,,,,,,,,,,,,,,,14300203.0,-14.9824078507,612369456.0,94.9683525651,564500.0,,,,4553319.0,,,,,,135009576.0,,743390213.0,136.6832044308,200615302.0,,,,0.0,,,,542774911.0,72.8105952615,,,,,,,542774911.0,72.8105952615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600377.SH,600377,宁沪高速,10002552,通用,1999-12-31 00:00:00,年报,1999年报,58001001,2001-04-12 00:00:00,2001-04-12 00:00:00,CNY,1138385154.0,12.3734819759,1138385154.0,12.3734819759,,,,,,,,,,,487132242.0,15.3469547642,320413806.0,0.741207022,,,,,,,,,,,,,,,,,,,63179537.0,10.6125113787,,,76559271.0,10.5631662727,,,26979628.0,222.0800353811,,,,,,,,,,,,,18221016.0,147.8648490925,,,,,,,,,,,,,,,,,17227302.0,20.4689332033,686701230.0,12.1383869283,6698893.0,1086.6949512843,,,5043885.0,10.773811367,,,,,0.0,-100.0,688356238.0,-7.403107283,81535129.0,-59.3574726418,,,0.0,,,,606821109.0,11.7997712684,,,,,,,604868411.0,11.4400092454,1952698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600377.SH,600377,宁沪高速,10002552,通用,2000-06-30 00:00:00,中报,2000中报,58001001,2001-08-22 00:00:00,2001-08-22 00:00:00,CNY,657083786.0,,657083786.0,,,,,,,,,,,,292060431.0,,196032984.0,,,,,,,,,,,,,,,,,,,,36480855.0,,,,40796271.0,,,,18750321.0,,,,,,,,,,,,,,14201760.0,,,,,,,,,,,,,,,,,,8546581.0,,387771696.0,,3144232.0,,,,1209759.0,,,,,,0.0,,389706169.0,,118490079.0,,,,0.0,,,,271216090.0,,,,,,,,265716999.0,,5499091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600377.SH,600377,宁沪高速,10002552,通用,2000-12-31 00:00:00,年报,2000年报,58001001,2002-04-09 00:00:00,2002-04-09 00:00:00,CNY,1381696175.0,21.37334804,1381696175.0,21.37334804,,,,,,,,,,,616289323.0,26.5137615342,423206347.0,32.0811834806,,,,,,,,,,,,,,,,,,,76684512.0,21.3755523406,,,84407349.0,10.2509831892,,,31991115.0,18.5750782035,,,,,,,,,,,,,34181529.0,87.5939793917,,,,,,,,,,,,,,,,,25763424.0,49.5499643531,825351805.0,20.190815007,9414326.0,40.5355481868,,,6501350.0,28.8956825939,,,,,0.0,,828264781.0,20.3250199935,125726422.0,54.1990839311,,,0.0,,,,702538359.0,15.7735531247,,,,,,,691486473.0,14.3201497094,11051886.0,465.9803000771,,,,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600377.SH,600377,宁沪高速,10002552,通用,2001-06-30 00:00:00,中报,2001中报,58001001,2002-08-16 00:00:00,2002-08-16 00:00:00,CNY,745908591.0,13.5180332999,745908591.0,13.5180332999,,,,,,,,,,,346494241.0,18.6378585465,235058803.0,19.9077819476,,,,,,,,,,,,,,,,,,,41397857.0,13.4783080057,,,72349710.0,77.3439293018,,,-2312129.0,-112.3311435575,,,,,,,,,,,,,13476649.0,-5.1057826636,,,,,,,,,,,,,,,,,17156479.0,100.7408459593,430047478.0,10.9022351131,4102755.0,30.4851232352,,,3547173.0,193.2131937022,,,,,0.0,,430603060.0,10.4942888394,57724008.0,-51.2836783576,,,0.0,,,,372879052.0,37.4841190285,,,,,,,365836146.0,37.6788641211,7042906.0,28.0740035035,284168945.0,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600377.SH,600377,宁沪高速,10002552,通用,2001-09-30 00:00:00,三季报,2001三季报,58001001,2002-10-30 00:00:00,2002-10-30 00:00:00,CNY,1189986869.0,,1189986869.0,,,,,,,,,,,,505274671.0,,337948556.0,,,,,,,,,,0.0,,0.0,,,,,,,,66044271.0,,,,100241198.0,,,,1040646.0,,,,,,,,,,,,,,39783385.0,,,,,,,,,,,,,,,,,,24822561.0,,749318144.0,,6639266.0,,,,4702483.0,,,,,,-1.0,,751254926.0,,157428702.0,,,,1.0,,,,593826225.0,,,,,,,,584089488.0,,9736737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600377.SH,600377,宁沪高速,10002552,通用,2001-12-31 00:00:00,年报,2001年报,58001001,2003-03-21 00:00:00,2003-03-21 00:00:00,CNY,1625991870.0,17.6808548377,1625991870.0,17.6808548377,,,,,,,,,,,739358533.0,19.9693886308,518194612.0,22.4449055817,,,,,,,,,,,,,,,,,,,90228874.0,17.6624479269,,,127644353.0,51.2242174553,,,3290694.0,-89.7137252015,,,,,,,,,,,,,37192541.0,8.8088862262,,,,,,,,,,,,,,,,,22915383.0,-11.0545904147,946741261.0,14.7076016875,8529024.0,-9.4037746303,,,14680223.0,125.8026871342,,,,,0.0,,940590062.0,13.5615184391,146986723.0,16.9099706027,,,0.0,,,,793603339.0,12.9622786903,,,,,,,780863985.0,12.9254172699,12739354.0,15.268597595,625593000.0,,,,,,0.16,12.676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600377.SH,600377,宁沪高速,10002552,通用,2002-03-31 00:00:00,一季报,2002一季报,58001001,2002-04-30 00:00:00,2002-04-30 00:00:00,CNY,450493590.0,,450493590.0,,,,,,,,,,,,56166489.33,,,,,,,,,,,,,,,,,,,,,,24962968.83,,,,30259057.16,,,,944463.34,,,,,,0.0,,,,,,,,10443184.65,,,,,,,,,,,,,,,,,,-117379459.73,,287390825.59,,1955743.92,,,,1312453.89,,,,,,0.0,,288034115.62,,91825938.85,,,,0.0,,,,196208176.77,,,,,,,,191778102.78,,4430073.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600377.SH,600377,宁沪高速,10002552,通用,2002-06-30 00:00:00,中报,2002中报,58001001,2003-08-15 00:00:00,2003-08-15 00:00:00,CNY,938207271.0,25.780461885,938207271.0,25.780461885,,,,,,,,,,,367275283.37,5.997514507,255065929.0,8.5115408335,,,,,,,,,,,,,,,,,,,52069862.37,25.779125161,,,62223941.0,-13.9955903071,,,-2084449.0,9.8472014321,,,,,,,,,,,,,28600782.0,112.2247303465,,,,,,,,,,,,,,,,,15032641.0,-12.3792183699,614565410.63,42.9064096569,8479701.0,106.6830946523,,,4345240.0,22.4986771156,,,,,0.0,,618699871.63,43.6821818289,203552324.0,252.6302678082,,,0.0,,1837088.0,,416984635.63,11.8283886943,,,,,,,407872095.63,11.4903762489,9112540.0,29.3860801209,409433000.0,44.080838953,,,,,0.08,9.5890410959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未经审计
