SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600597.SH,600597,光明乳业,10002655,通用,1999-12-31 00:00:00,年报,1999年报,58001001,2002-08-09 00:00:00,2002-08-09 00:00:00,CNY,1462719208,,1462719208,,,,,,,,,,,,1368430673,,1081119281,,,,,,,,,,,,,,,,,,,,169076,,217188607,,77107698,,,,-7153989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468431.0,,94756966,,338671,,,,15575060,,,,,,11159935.0,,90680512,,12600000,,,,0.0,,,,78080512,,,,,,,,76916146,,1164366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600597.SH,600597,光明乳业,10002655,通用,2000-12-31 00:00:00,年报,2000年报,58001001,2002-08-09 00:00:00,2002-08-09 00:00:00,CNY,2279828659,55.8623587173,2279828659,55.8623587173,,,,,,,,,,,2132436190,55.8307798907,1585880520,46.6887648635,,,,,,,,,,,,,,,,,,,1128572,567.493908065,384845504,77.1941490467,163440040,111.9633243363,,,-2858446,60.0440257876,,,,,,,,,,,,,-12421430.0,,,,,,,,,,,,,,,,,,4259154.0,809.2382869622,139230193,46.9339921669,1266919,274.0854693788,,,19215163,23.3713577989,,,,,8474814.0,-24.0603641509,129756763,43.0922258136,24079077,91.1037857143,,,0.0,,,,105677686,35.3445095237,,,,,,,104235179,35.5179431377,1442507,23.8877638131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600597.SH,600597,光明乳业,10002655,通用,2001-12-31 00:00:00,年报,2001年报,58001001,2003-03-27 00:00:00,2003-03-27 00:00:00,CNY,3520210605,54.4068055774,3520210605,54.4068055774,,,,,,,,,,,3311514293,55.2925385777,2330276109,46.9389452492,,,,,,,,,,,,,,,,,,,6913532,512.5911328652,754451064,96.0399838788,209945553,28.4541737753,,,9928035,447.3228110659,,,,,,,,,,,,,7181507.0,157.8154608608,,,,,,,,,,,,,,,,,15262087.0,258.336115576,231139906,66.0127742551,1468938,15.9456918714,,,28630694,49.0005263031,,,,,17026779.0,100.9103562627,221004929,70.3224740586,46836356,94.5105952359,,,0.0,,,,174168573,64.8111153759,,,,,,,162906619,56.2875610354,11261954,680.7209254444,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600597.SH,600597,光明乳业,10002655,通用,2002-06-30 00:00:00,中报,2002中报,58001001,2003-07-31 00:00:00,2003-07-31 00:00:00,CNY,2300266615,,2300266615,,,,,,,,,,,,2147973188,,1449323295,,,,,,,,,,,,,,,,,,,,4004902,,557080369,,123585874,,,,13978748,,,,,,,,,,,,,,-100411.0,,,,,,,,,,,,,,,,,,4431655.0,,156624671,,1246326,,,,2614604,,,,,,5658404.0,,160914797,,59823722,,,,0.0,,,,101091075,,,,,,,,95545306,,5545769,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600597.SH,600597,光明乳业,10002655,通用,2002-09-30 00:00:00,三季报,2002三季报,58001001,2003-10-23 00:00:00,2003-10-23 00:00:00,CNY,3623756840,,3623756840,,,,,,,,,,,,3385291965,,2267558696,,,,,,,,,,,,,,,,,,,,6397520,,908024321,,189804517,,,,13506911,,,,,,,,,,,,,,67399.0,,,,,,,,,,,,,,,,,,7033396.0,,245565670,,2658025,,,,10667741,,,,,,12071486.0,,249627440,,84532459,,,,0.0,,,,165094981,,,,,,,,151653948,,13441033,,164761100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600597.SH,600597,光明乳业,10002655,通用,2002-12-31 00:00:00,年报,2002年报,58001001,2004-03-29 00:00:00,2004-03-29 00:00:00,CNY,5021503488,42.6478143344,5021503488,42.6478143344,,,,,,,,,,,4694776077,41.7712762685,3338874018,43.2823348746,,,,,,,,,,,,,,,,,,,11662548,68.691603655,1046789147,38.7484486336,279626141,33.1898375575,,,17824223,79.5342482173,,,,,,,,,,,,,2182401.0,-69.6108212385,,,,,,,,,,,,,,,,,56981245.0,273.3515933961,385891057,66.951290964,2121881,44.4500040165,,,30843804,7.7298510473,,,,,14717860.0,-13.560515468,371886994,68.2709049444,134381676,186.9174450719,,,0.0,,,,237505318,36.3651971817,,,,,,,226313752,38.9223798206,11191566,-0.6250069926,250639087.0,,,,,,0.41,24.2424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
600597.SH,600597,光明乳业,10002655,通用,2003-03-31 00:00:00,一季报,2003一季报,58001001,2004-04-22 00:00:00,2004-04-22 00:00:00,CNY,1342598237,,1342598237,,,,,,,,,,,,1275505100,,889813442,,,,,,,,,,,,,,,,,,,,2629888,,297773766,,83349390,,,,1938614,,,,,,,,,,,,,,79772.0,,,,,,,,,,,,,,,,,,10324911.0,,77497820,,2184339,,,,3340350,,,,,,5032537.0,,81374346,,27071230,,,,0.0,,,,54303116,,,,,,,,53725088,,578028,,54881098.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600597.SH,600597,光明乳业,10002655,通用,2003-06-30 00:00:00,中报,2003中报,58001001,2004-08-12 00:00:00,2004-08-12 00:00:00,CNY,2853141385,24.0352473228,2853141385,24.0352473228,,,,,,,,,,,2688195076,25.1503087198,1897033885,30.8910090347,,,,,,,,,,,,,,,,,,,5869454,46.5567447094,631670758,13.389520283,148112832,19.846085322,,,5508147,-60.5962780072,,,,,,,,,,,,,1688808.0,1781.8954098655,,,,,,,,,,,,,,,,,25510192.0,475.6357839227,192145309,22.678826888,791508,-36.4926993419,,,4164691,59.2857273989,,,,,6959895.0,23.0010264378,195732021,21.6370555406,64200102,7.3154592421,,,0.0,,,,131531919,30.1122962635,,,,,,,125556071,31.4099836574,5975848,7.7550831995,120280550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未经审计
600597.SH,600597,光明乳业,10002655,通用,2003-09-30 00:00:00,三季报,2003三季报,58001001,2004-10-28 00:00:00,2004-10-28 00:00:00,CNY,4474145171,23.467036243,4474145171,23.467036243,,,,,,,,,,,4209319504,24.3414023818,2973603174,31.1367674515,,,,,,,,,,,,,,,,,,,9117553,42.516990959,1016335361,11.9282091344,204515676,7.7506896214,,,5747740,-57.4459326785,,,,,,,,,,,,,-302176.0,-548.3389961275,,,,,,,,,,,,,,,,,45268558.0,543.623052079,309792049,26.1544616558,928227,-65.0783194289,,,10148451,-4.8678534659,,,,,9529019.0,-21.0617566056,310100844,24.2254633545,94778563,12.1209108563,,,0.0,,,,215322281,30.423274951,,,,,,,202768596,33.7047921759,12553685,-6.6017842527,202761977.0,23.064228753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600597.SH,600597,光明乳业,10002655,通用,2003-12-31 00:00:00,年报,2003年报,58001001,2005-03-03 00:00:00,2005-03-03 00:00:00,CNY,5981051611,19.1087813698,5981051611,19.1087813698,,,,,,,,,,,5658002717,20.5169879075,4022358868,20.4705192923,,,,,,,,,,,,,,,,,,,12785958,9.6326291647,1308359267,24.9878517321,305087862,9.1056297201,,,9410762,-47.2023997904,,,,,,,,,,,,,-5695946.0,-360.9944735179,,,,,,,,,,,,,,,,,68748915.0,20.6518302645,386101863,0.0546283714,5723273,169.7263889917,,,14529903,-52.891987642,,,,,13621874.0,-7.4466396609,390917107,5.1171762678,108636411,-19.158315156,,,0.0,,,,282280696,18.8523686025,,,,,,,282461933,24.8098847303,-181237,-101.6194069713,273738719.0,9.2162927485,,,,,0.43,4.8780487805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
