SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
601133.SH,601133,柏诚股份,10000182677,通用,2018-12-31 00:00:00,年报,2018年报,58001001,2022-01-06 00:00:00,2022-01-06 00:00:00,CNY,1391501300.0,,1391501300.0,,,,,,,,,,,,1186401200.0,,1126229100.0,,,,,,4947200.0,,,,,,,,,,,,,,3284700.0,,8384300.0,,45067000.0,,,,-1511100.0,,22600.0,,-1124200.0,,,,,,,,,,2898500.0,,,,,,,,14000.0,,-7078600.0,,,,440100.0,,,,0,,201374100.0,,354900.0,,,,1585700.0,,,,,,100,,200143400.0,,49659200.0,,,,,,,,150484200.0,,,,150484200.0,,,,150484200.0,,,,149164500.0,,,,,,1.5,,1.5,,-3300.0,,-3300.0,,,,,,,,,,,,,,,,,,,,,,-3300.0,,,,,,,,,,,,,,,,-3300.0,,,,,,,,,,150481000.0,,150481000.0,,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2019-12-31 00:00:00,年报,2019年报,58001001,2022-01-06 00:00:00,2023-03-21 00:00:00,CNY,1856824343.9,33.4403599839,1856824343.9,33.4403599839,,,,,,,,,,,1610271651.78,35.727412597,1542235900.24,36.9380262186,,,,,5073983.74,2.562737306,,,,,,,,,,,,,4537033.08,38.1262544525,10100636.06,20.4708331047,49845897.54,10.6039841569,,,-1521798.88,-0.7080193237,25766.0,14.0088495575,-1474770.44,-31.1839921722,,,,,,,,,1903546.38,-34.3265006038,,,,,,,,,-1491498.43,78.9294715057,-26061658.88,,1419225.0,222.4778459441,,,0,,222322306.19,10.4026318131,127551.38,-64.0599098338,,,41926.87,-97.3559393328,,,,,0,-100.0,222407930.7,11.1242892346,55989891.64,12.748275526,,,,,,,166418039.06,10.5883800824,,,166418039.06,10.5883800824,,,166418039.06,10.5883800824,,,163856792.69,9.8497247602,,,,,0.48,-68.0,0.48,-68.0,36934.04,1219.2133333333,36934.04,1219.2133333333,,,,,,,,,,,,,,,,,,,,,36934.04,1219.2133333333,,,,,,,,,,,,,,,36934.04,1219.2133333333,,,,,,,,,166454973.1,10.6152757491,166454973.1,10.6152757491,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2020-12-31 00:00:00,年报,2020年报,58001001,2022-01-06 00:00:00,2023-03-21 00:00:00,CNY,1947405743.08,4.8782966185,1947405743.08,4.8782966185,,,,,,,,,,,1779501698.96,10.5094098249,1678803170.11,8.8551478959,,,,,5019951.62,-1.0648855568,,,,,,,,,,,,,4132420.45,-8.9180004392,10965983.28,8.567254724,80909739.39,62.3197562549,,,-329565.89,78.3436632573,459372.93,1682.8647442366,-1389937.68,5.7522688073,,,,,,,-104000.0,,81347.93,-95.726506543,,,,,,,,,-20305826.06,-1261.437977511,8006619.14,130.7218323165,3320938.22,133.9965981434,,,0,,158903123.35,-28.5257848962,191015.89,49.7560355678,,,201547.56,380.712154282,,,,,0,,158892591.68,-28.5580369459,40748846.78,-27.221065113,,,,,,,118143744.9,-29.007849409,,,118143744.9,-29.007849409,,,118143744.9,-29.007849409,,,115962706.85,-29.2292342928,,,,,0.31,-35.4166666667,0.31,-35.4166666667,-274900.42,-844.3009754687,-274900.42,-844.3009754687,,,,,,,,,,,,,,,,,,,,,-274900.42,-844.3009754687,,,,,,,,,,,,,,,-274900.42,-844.3009754687,,,,,,,,,117868844.48,-29.1887515976,117868844.48,-29.1887515976,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2021-06-30 00:00:00,中报,2021中报,58001001,2022-01-06 00:00:00,2022-01-06 00:00:00,CNY,1009357700.0,,1009357700.0,,,,,,,,,,,,935437600.0,,885743900.0,,,,,,2227800.0,,,,,,,,,,,,,,2306600.0,,6110400.0,,39489100.0,,,,-440200.0,,671800.0,,-1466200.0,,,,,,,,-102500.0,,161500.0,,,,,,,,343700.0,,-5316100.0,,9936800.0,,243500.0,,,,-100,,79186900.0,,2201600.0,,,,2005400.0,,,,,,0,,79383100.0,,20403700.0,,,,,,,,58979300.0,,,,58979300.0,,,,58979300.0,,,,58909000.0,,,,,,0.16,,0.16,,-47900.0,,-47900.0,,,,,,,,,,,,,,,,,,,,,,-47900.0,,,,,,,,,,,,,,,,-47900.0,,,,,,,,,,58931400.0,,58931400.0,,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2021-12-31 00:00:00,年报,2021年报,58001001,2022-06-06 00:00:00,2023-04-27 00:00:00,CNY,2742399434.04,40.8232179547,2742399434.04,40.8232179547,,,,,,,,,,,2505004638.27,40.770005431,2404970631.09,43.2550684862,,,,,6351171.74,26.5185846552,,,,,,,,,,,,,5396785.52,30.5962349499,14786020.22,34.8353343468,74225294.66,-8.2616070456,,,-725264.96,-120.066755088,2184433.84,375.5251555637,-3792638.13,-172.863897754,,,,,,,,,273139.68,235.7672162033,,,,,,,443546.77,,-4215850.67,79.2382212989,-34858710.6,-535.373657601,921032.32,-72.265900207,,,0,,199957953.27,25.8363895275,3774182.14,1875.8472135486,,,2249257.2,1015.9932672963,,,,,0,,201482878.21,26.80445078,49622751.87,21.777070497,,,,,,,151860126.34,28.5384397359,,,151860126.34,28.5384397359,,,151860126.34,28.5384397359,,,150044179.65,29.3900286789,,,,,0.39,25.8064516129,0.39,25.8064516129,-260720.33,5.158264218,-260720.33,5.158264218,,,,,,,,,,,,,,,,,,,,,-260720.33,5.158264218,,,,,,,,,,,,,,,-260720.33,5.158264218,,,,,,,,,151599406.01,28.6170291045,151599406.01,28.6170291045,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2022-03-31 00:00:00,一季报,2022一季报,58001001,2023-04-27 00:00:00,2023-04-27 00:00:00,CNY,584893631.42,,584893631.42,,,,,,,,,,,,545018208.68,,519915548.59,,,,,,1927269.39,,,,,,,,,,,,,,978115.16,,3891026.31,,18486891.01,,,,-180641.78,,,,,,,,,,,,,,353000.0,,,,,,,,512448.41,,-5465622.8,,21714783.6,,139681.07,,,,0,,57129713.02,,115980.84,,,,,,,,,,0,,57245693.86,,14347897.53,,,,,,,,42897796.33,,,,42897796.33,,,,42897796.33,,,,42057000.0,,,,,,0.11,,0.11,,-68229.43,,-68229.43,,,,,,,,,,,,,,,,,,,,,,-68229.43,,,,,,,,,,,,,,,,-68229.43,,,,,,,,,,42829566.9,,42829566.9,,,,,,,,,,,,,,
601133.SH,601133,柏诚股份,10000182677,通用,2022-06-30 00:00:00,中报,2022中报,58001001,2023-02-20 00:00:00,2023-03-21 00:00:00,CNY,1286857807.12,27.4927418813,1286857807.12,27.4927418813,,,,,,,,,,,1146281072.59,22.5395550264,1095169529.84,23.6440386256,,,,,4340699.2,94.842409552,,,,,,,,,,,,,2496891.02,8.2498491286,7723227.44,26.3947931396,37740275.15,-4.4286267603,,,-1189550.06,-170.2294547933,2038480.29,203.4355894611,-2063408.63,-40.7317303233,,,,,,,,,957146.73,492.6605139319,,,,,,,512448.41,49.0975880128,-5517326.01,-3.7852186753,41065305.15,313.2648855768,1283180.49,426.9735071869,,,0,100.0,178877489.3,125.8927793612,1011287.27,-54.0658035065,,,10967.44,-99.4531046175,,,,,0,,179877809.13,126.5945889364,46183377.17,126.3480504516,,,,,,,133694431.96,126.6802623293,,,133694431.96,126.6802623293,,,133694431.96,126.6802623293,,,130968144.68,122.3228109117,,,,,0.34,112.5,0.34,112.5,924648.94,2030.3735699374,924648.94,2030.3735699374,,,,,,,,,,,,,,,,,,,,,924648.94,2030.3735699374,,,,,,,,,,,,,,,924648.94,2030.3735699374,,,,,,,,,134619080.9,128.4335361115,134619080.9,128.4335361115,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2022-12-31 00:00:00,年报,2022年报,58001001,2023-03-21 00:00:00,2023-04-27 00:00:00,CNY,2751463554.31,0.3305178727,2751463554.31,0.3305178727,,,,,,,,,,,2460117316.06,-1.7919057524,2347852120.85,-2.3750190336,,,,,9701904.12,52.7577038879,,,,,,,,,,,,,5615391.62,4.0506723714,18383544.65,24.3305796724,80868936.7,8.9506442116,,,-2304581.88,-217.7572345423,3379599.23,54.7128216069,-3704551.75,2.3225622108,,,,,,,,,1030896.73,277.4247410702,,,,,,,13322429.71,2903.6132852461,-3396375.08,19.4379652921,27609187.53,179.203123279,3839128.99,316.8289110636,,,0,,333751506.13,66.9108433408,2724908.63,-27.8013479763,,,262206.44,-88.3425319257,,,,,0,,336214208.32,66.8698657211,85365376.71,72.0287035544,,,,,,,250848831.61,65.1841320403,,,250848831.61,65.1841320403,,,250848831.61,65.1841320403,,,235452868.24,56.922360327,,,,,0.64,64.1025641026,0.64,64.1025641026,1618552.33,720.8001999691,1618552.33,720.8001999691,,,,,,,,,,,,,,,,,,,,,1618552.33,720.8001999691,,,,,,,,,,,,,,,1618552.33,720.8001999691,,,,,,,,,252467383.94,66.5358661916,252467383.94,66.5358661916,,,,,,,,,,,,,标准无保留意见
601133.SH,601133,柏诚股份,10000182677,通用,2023-03-31 00:00:00,一季报,2023一季报,58001001,2023-04-27 00:00:00,2023-04-27 00:00:00,CNY,542240460.06,-7.292466368,542240460.06,-7.292466368,,,,,,,,,,,490599399.12,-9.9847690762,461153295.37,-11.3022688741,,,,,2918835.31,51.4492641841,,,,,,,,,,,,,1599682.92,63.5475029341,5626225.78,44.5949045767,20120457.37,8.8363498174,,,-819097.63,-353.4375325575,,,,,,,,,,,136666.67,,21827.17,-93.8166657224,,,,,,,,,-5198388.81,4.8893602756,8297148.7,-61.790322884,127353.84,-8.8252688786,,,0,,55025668.51,-3.6829250468,17293.91,-85.0889940097,,,28284.5,,,,,,0,,55014677.92,-3.8972642125,14605745.82,1.797115497,,,,,,,40408932.1,-5.8018463486,,,40408932.1,-5.8018463486,,,40408932.1,-5.8018463486,,,40291060.56,-4.1989191811,,,,,0.1,-9.0909090909,0.1,-9.0909090909,-201443.86,-195.2448232383,-201443.86,-195.2448232383,,,,,,,,,,,,,,,,,,,,,-201443.86,-195.2448232383,,,,,,,,,,,,,,,-201443.86,-195.2448232383,,,,,,,,,40207488.24,-6.1221227525,40207488.24,-6.1221227525,,,,,,,,,,,,,
601133.SH,601133,柏诚股份,10000182677,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-25 00:00:00,2023-08-25 00:00:00,CNY,1440731858.63,11.9573468536,1440731858.63,11.9573468536,,,,,,,,,,,1306622197.16,13.9879413875,1248504861.65,14.0010589806,,,,,7254591.02,67.1295495435,,,,,,,,,,,,,3285477.86,31.5827496548,11867934.88,53.6654846979,46124682.19,22.2160729,,,-10415350.44,-775.5705867477,655684.44,-67.8346441113,-10525508.12,-410.1029416553,,,,,,,13333.33,,513327.17,-46.3690201397,,,,,,,,,-19258453.08,-249.054107825,7971659.05,-80.5878489862,191584.74,-85.0695407627,,,0,,123541112.68,-30.9353495717,12294.25,-98.7842969684,,,32098.76,192.6732218275,,,,,0,,123521308.17,-31.3304354954,30695219.62,-33.5362169228,,,,,,,92826088.55,-30.5684708113,,,92826088.55,-30.5684708113,,,92826088.55,-30.5684708113,,,92400721.84,-29.4479416611,,,,,0.21,-38.2352941176,0.21,-38.2352941176,706543.81,-23.5878851491,706543.81,-23.5878851491,,,,,,,,,,,,,,,,,,,,,706543.81,-23.5878851491,,,,,,,,,,,,,,,706543.81,-23.5878851491,,,,,,,,,93532632.36,-30.5205237365,93532632.36,-30.5205237365,,,,,,,,,,,,,
