SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
301439.SZ,301439,泓淋电力,10739147,通用,2017-12-31 00:00:00,年报,2017年报,58001001,2020-12-08 00:00:00,2020-12-08 00:00:00,CNY,1187807751.9,,1187807751.9,,,,,,,,,,,,1140786214.12,,954046455.98,,,,,,68899050.58,,,,,,,,,,,,,,5920193.91,,45641616.05,,35037196.37,,,,31241701.23,,19809473.96,,230307.97,,,,,,,,,,2763722.43,,,,,,,,-428908.84,,-441563.53,,,,2359926.75,,,,0,,51274714.59,,744200.0,,,,8513467.25,,,,,,0,,43505447.34,,2731006.37,,,,,,,,40774440.97,,,,40982134.84,,-207693.87,,36523889.54,,4250551.43,,40388359.22,,,,,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40774440.97,,36523889.54,,4250551.43,,,,,,,,,,,,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2018-12-31 00:00:00,年报,2018年报,58001001,2020-12-08 00:00:00,2022-01-22 00:00:00,CNY,1284260865.52,8.1202630195,1284260865.52,8.1202630195,,,,,,,,,,,1214420809.18,6.454723431,1030438289.75,8.0071398296,,,,,78427129.88,13.8290429546,,,,,,,,,,,,,7934311.57,34.0211434054,47540619.95,4.1606850597,30600875.88,-12.661745087,,,19479582.15,-37.6487790899,24326351.1,22.8016006337,441165.91,91.5547733758,,,,,,,5530000.0,,-159152.75,-105.7586372739,,,,,,,46598.27,110.8643762157,-11757087.02,-2562.6037299774,,,4375090.0,85.3909236802,,,0,,67875504.84,32.3761729007,213233.93,-71.3472278957,,,15108048.94,77.4605868132,,,,,0,,52980689.83,21.7794392871,442501.89,-83.7971124908,,,,,,,52538187.94,28.8507866451,,,52920327.99,29.13023735,-382140.05,-83.9919733789,56129086.12,53.6777348385,-3590898.18,-184.4807606527,62887801.71,55.7077408553,,,,,0.2,53.8461538462,0.2,53.8461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52538187.94,28.8507866451,56129086.12,53.6777348385,-3590898.18,-184.4807606527,,,,,,,,,,,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2019-12-31 00:00:00,年报,2019年报,58001001,2020-12-08 00:00:00,2023-03-14 00:00:00,CNY,1247637318.12,-2.8517218256,1247637318.12,-2.8517218256,,,,,,,,,,,1135228196.18,-6.5210191065,955897209.14,-7.2339199107,,,,,80336512.12,2.434594053,,,,,,,,,,,,,6188749.1,-22.0001754985,47295130.4,-0.5163785206,27164755.62,-11.2288297677,,,18345839.8,-5.8201574411,18710457.67,-23.0856383142,250757.69,-43.1602296741,,,,,,,,,9423520.52,6021.0541570912,,,,,,,356847.69,665.7960048731,-1644525.25,86.012477009,-570262.89,,2882927.07,-34.1058796505,,,0,,122857629.08,81.0043687625,179740.44,-15.707392346,,,424997.66,-97.1869454376,,,,,0,,122612371.86,131.4284171335,6286998.38,1320.7845259147,,,,,,,116325373.48,121.4110878983,,,115600000.6,118.4415799952,725372.88,289.8185966114,116036830.43,106.7320857174,288543.05,108.0354004914,104401309.16,66.01201874,,,,,0.41,105.0,0.41,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116325373.48,121.4110878983,116036830.43,106.7320857174,288543.05,108.0354004914,,,,,,,,,-1379208.01,,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2020-06-30 00:00:00,中报,2020中报,58001001,2020-12-08 00:00:00,2020-12-08 00:00:00,CNY,526157855.79,,526157855.79,,,,,,,,,,,,466950092.94,,410519523.97,,,,,,33458516.66,,,,,,,,,,,,,,920852.74,,6734556.92,,10462955.76,,,,4853686.89,,8418170.95,,162738.96,,,,,,,,,,-843045.08,,,,,,,,,,-230698.07,,344331.76,,1649596.33,,,,0,,60127947.79,,3343967.26,,,,110522.13,,,,,,0,,63361392.92,,5949269.86,,,,,,,,57412123.06,,,,57412123.06,,,,57437022.17,,-24899.11,,53286407.84,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57412123.06,,57437022.17,,-24899.11,,,,,,,,,,-843045.08,,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2020-12-31 00:00:00,年报,2020年报,58001001,2021-06-18 00:00:00,2023-03-14 00:00:00,CNY,1501567984.88,20.3529233273,1501567984.88,20.3529233273,,,,,,,,,,,1373397161.35,20.9798317177,1206087469.12,26.1733434921,,,,,79300917.94,-1.2890703774,,,,,,,,,,,,,4622891.74,-25.3016778463,21178865.76,-55.2197750997,30109978.27,10.8420730567,,,32097038.52,74.9554060752,15660626.19,-16.3001436619,297307.98,18.5638534156,,,,,,,,,-1830992.9,-119.430030381,,,,,,,-2424.34,-100.6793766831,-1525448.14,7.240819805,-1598981.95,-180.3938285376,6425685.22,122.8875397809,,,0,,129638661.42,5.5194230841,3344211.6,1760.5782872235,,,110522.13,-73.9946497588,,,,,0,,132872350.89,8.3678171088,10511911.98,67.2008062455,,,,,,,122360438.91,5.1880903104,,,122360438.91,5.8481299956,,,122279469.08,5.3798769122,80969.83,-71.9383883965,114071032.19,9.2620706654,,,,,0.42,2.4390243902,0.42,2.4390243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121217698.5,4.2057247474,121137091.09,4.3953808813,80607.41,-72.0639918376,,,,,,,,,-1830992.9,-32.7568348447,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2021-06-30 00:00:00,中报,2021中报,58001001,2021-11-08 00:00:00,2022-01-22 00:00:00,CNY,1032245334.02,96.1854836264,1032245334.02,96.1854836264,,,,,,,,,,,955435244.19,104.6118543792,860438258.66,109.597402418,,,,,47494504.0,41.9504172365,,,,,,,,,,,,,1145823.76,24.4307271106,13943884.14,107.0497629709,18047391.8,72.4884651524,,,14365381.83,195.9684494605,9314837.12,10.6515557278,875428.2,437.9340017904,,,,,,,,,-2311315.43,-174.1627327924,,,,,,,-166067.85,,-2724192.5,-1080.8475467523,-779895.12,-326.4952614304,297961.6,-81.9373022005,,,0,,71126580.53,18.2920474492,583.77,-99.9825425922,,,759.38,-99.3129158839,,,,,0,,71126404.92,12.2551156819,4928100.37,-17.1646187521,,,,,,,66198304.55,15.3037042034,,,66198304.55,15.3037042034,,,66278452.3,15.3932599497,-80147.75,-221.8900193621,66166494.1,24.1714290419,,,,,0.23,15.0,0.23,15.0,-827186.01,,-828235.49,,1049.48,,,,,,,,,,,,,,,,,,,,-828235.49,,,,,,,,,,,,,,,,-828235.49,,,,,,,,,,65371118.54,13.8629178922,65450216.81,13.9512710396,-79098.27,-217.6750895916,,,,,,,,,-744817.81,11.6514848767,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2021-12-31 00:00:00,年报,2021年报,58001001,2022-03-28 00:00:00,2023-04-26 00:00:00,CNY,2449650852.96,63.1395233267,2449650852.96,63.1395233267,,,,,,,,,,,2284616945.03,66.3478714915,2073682294.93,71.9346521727,,,,,100817024.42,27.1322287798,,,,,,,,,,,,,4779176.95,3.3806807252,33268668.71,57.0842796163,42342625.56,40.6265563539,,,29727154.46,-7.3834975726,19242110.65,22.8693566691,224841.16,-24.3743272549,,,,,,,,,-4789865.0,-161.59932133,,,,,,,-213204.73,-8694.3411402691,-1755162.51,-15.0588121599,-2801214.4,-75.1873684378,12545061.01,95.2330464454,,,0,,168019522.3,29.6060299139,2010517.4,-39.8806762108,,,42932.11,-61.1551912726,,,,,0,,169987107.59,27.9326409531,7622176.5,-27.4901034702,,,,,,,162364931.09,32.6939757134,,,162364931.09,32.6939757134,,,162190529.86,32.6392166079,174401.23,115.390386765,150035993.39,31.5285664638,,,,,0.56,33.3333333333,0.56,33.3333333333,-4975853.43,,-4972942.3,,-2911.13,,,,,,,,,,,,,,,,,,,,-4972942.3,,,,,,,,,,,,,,,,-4972942.3,,,,,,,,,,157389077.66,29.8400147896,157217587.56,29.7848463632,171490.1,112.7473144218,,,,,,,,,-4789865.0,-161.59932133,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2022-03-31 00:00:00,一季报,2022一季报,58001001,2023-04-26 00:00:00,2023-04-26 00:00:00,CNY,526692568.46,,526692568.46,,,,,,,,,,,,493809698.48,,451386043.43,,,,,,19956750.87,,,,,,,,,,,,,,479481.98,,6451811.16,,9525213.65,,,,6010397.39,,3969591.33,,33273.75,,,,,,,,,,-1552936.03,,,,,,,,-26573.01,,-401216.87,,-269020.99,,1654692.63,,,,0,,32287815.71,,,,,,,,,,,,0,,32287815.71,,1133067.41,,,,,,,,31154748.3,,,,,,,,31000846.94,,153901.36,,30058905.32,,,,,,0.11,,0.11,,-952664.42,,-1134825.37,,182160.95,,,,,,,,,,,,,,,,,,,,-1134825.37,,,,,,,,,,,,,,,,-1134825.37,,,,,,,,,,30202083.88,,29866021.57,,336062.31,,,,,,,,,,-1552936.03,,
301439.SZ,301439,泓淋电力,10739147,通用,2022-09-30 00:00:00,三季报,2022三季报,58001001,2023-02-28 00:00:00,2023-03-14 00:00:00,CNY,1837474729.49,,1837474729.49,,,,,,,,,,,,1679323559.94,,1556267207.63,,,,,,69896953.43,,,,,,,,,,,,,,2121078.57,,29395902.81,,33434398.88,,,,-11791981.38,,11904927.13,,192517.25,,,,,,,,,,-7111404.47,,,,,,,,-195219.86,,-2455587.38,,2018685.88,,8664828.43,,,,0,,159072472.15,,2726.66,,,,,,,,,,0,,159075198.81,,4701702.57,,,,,,,,154373496.24,,,,154373496.24,,,,153959254.2,,414242.04,,146756199.65,13.3558874213,,,,,0.53,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149845165.21,,149290336.6,,554828.61,,,,,,,,,,-7111404.47,,标准无保留意见
301439.SZ,301439,泓淋电力,10739147,通用,2022-12-31 00:00:00,年报,2022年报,58001001,2023-02-28 00:00:00,2023-04-26 00:00:00,CNY,2289063884.33,-6.5555043665,2289063884.33,-6.5555043665,,,,,,,,,,,2117012093.28,-7.3362342915,1933922895.26,-6.7396727074,,,,,97203144.62,-3.5845928015,,,,,,,,,,,,,2947858.62,-38.3186969045,37739381.41,13.4382073986,43758203.35,3.343150717,,,1440610.02,-95.1538919679,13464294.59,-30.026935013,348208.08,54.8684769283,,,,,,,,,-8131987.0,-69.774868394,,,,,,,-336091.61,-57.6379707899,-1570923.31,10.4969881108,1786234.97,163.7664496513,11259775.64,-10.2453496956,,,0,,175058799.74,4.189559251,5089126.66,153.1252233878,,,1945.94,-95.467401905,,,,,0,,180145980.46,5.9762607965,1030831.28,-86.4758933357,,,,,,,179115149.18,10.3164014406,,,179115149.18,10.3164014406,,,179260984.66,10.5249392888,-145835.48,-183.620671712,165638671.59,10.3992900953,,,,,0.61,8.9285714286,0.61,8.9285714286,7625816.13,253.2564461007,7576375.86,252.3519760123,49440.27,1798.31886587,,,,,,,,,,,,,,,,,,,7576375.86,252.3519760123,,,,,,,,,,,,,,,7576375.86,252.3519760123,,,,,,,,,186740965.31,18.6492532305,186837360.52,18.8399869377,-96395.21,-156.2103643301,,,,,,,,,-8131987.0,-69.774868394,标准无保留意见
